semana_gestacional,tipo_parto,paridad,p90_chico,p97_chico,p90_chica,p97_chica,p90_promedio,p97_promedio
24,vaginal,primipara,821.46,871.17,734.86,780.49,778.1600000000001,825.8299999999999
25,vaginal,primipara,936.07,996.49,858.19,912.64,897.1300000000001,954.565
26,vaginal,primipara,1070.01,1142.8,996.14,1060.7,1033.075,1101.75
27,vaginal,primipara,1223.09,1309.74,1149.88,1225.93,1186.4850000000001,1267.835
28,vaginal,primipara,1394.51,1496.12,1319.85,1408.82,1357.1799999999998,1452.4699999999998
29,vaginal,primipara,1582.81,1700.06,1505.74,1609.03,1544.275,1654.545
30,vaginal,primipara,1785.99,1919.03,1706.47,1825.35,1746.23,1872.19
31,vaginal,primipara,2001.5,2150.03,1920.16,2055.66,1960.83,2102.8450000000003
32,vaginal,primipara,2226.35,2389.61,2144.14,2296.9,2185.245,2343.255
33,vaginal,primipara,2457.06,2634.01,2374.89,2545.08,2415.975,2589.545
34,vaginal,primipara,2689.76,2879.12,2608.1,2795.25,2648.9300000000003,2837.185
35,vaginal,primipara,2920.15,3120.49,2838.68,3041.54,2879.415,3081.015
36,vaginal,primipara,3143.52,3353.33,3060.77,3277.24,3102.145,3315.285
37,vaginal,primipara,3354.71,3572.44,3267.85,3494.87,3311.2799999999997,3533.6549999999997
38,vaginal,primipara,3548.17,3772.22,3452.78,3686.38,3500.4750000000004,3729.3
39,vaginal,primipara,3717.86,3946.59,3607.97,3843.25,3662.915,3894.92
40,vaginal,primipara,3857.31,4088.98,3725.44,3956.82,3791.375,4022.9
41,vaginal,primipara,3959.59,4192.32,3797.06,4018.42,3878.325,4105.37
42,vaginal,primipara,4017.28,4249.01,3844.82,4064.84,3931.05,4156.925
24,vaginal,multipara,820.63,873.6,750.64,802.25,785.635,837.925
25,vaginal,multipara,921.43,983.61,896.23,958.67,908.8299999999999,971.14
26,vaginal,multipara,1067.88,1142.55,1046,1119.79,1056.94,1131.17
27,vaginal,multipara,1242.83,1332.23,1201.31,1287.04,1222.07,1309.635
28,vaginal,multipara,1436.17,1541.76,1365.7,1464.2,1400.935,1502.98
29,vaginal,multipara,1642.7,1765.46,1543.33,1655.66,1593.0149999999999,1710.56
30,vaginal,multipara,1860.24,2000.79,1737.67,1865.08,1798.955,1932.935
31,vaginal,multipara,2087.98,2246.63,1950.47,2094.22,2019.225,2170.425
